"","날짜","호선","역번호","역명","구분","X04...05","X05...06","X06...07","X07...08","X08...09","X09...10","X10...11","X11...12","X12...13","X13...14","X14...15","X15...16","X16...17","X17...18","X18...19","X19...20","X20...21","X21...22","X22...23","X23...24","X00...01","X01...02","X02...03","X03...04"
"113","2019-11-01","2호선",247,"도림천","승차",0,16,47,140,147,73,82,37,55,57,121,158,88,130,156,98,47,28,21,8,4,0,0,0
"114","2019-11-01","2호선",247,"도림천","하차",0,16,40,256,292,84,60,47,64,57,62,64,64,59,133,93,54,52,47,42,16,3,0,0
"115","2019-11-01","2호선",248,"양천구청","승차",3,170,481,1573,1499,795,496,422,382,382,339,296,411,451,491,201,130,119,120,51,18,3,0,0
"116","2019-11-01","2호선",248,"양천구청","하차",1,39,105,210,457,252,208,218,283,326,337,475,549,777,1283,1215,591,487,592,517,196,25,0,0
"117","2019-11-01","2호선",249,"신정네거리","승차",1,319,566,2023,1841,957,590,481,479,494,421,448,528,638,674,324,269,204,182,79,22,5,0,0
"118","2019-11-01","2호선",249,"신정네거리","하차",0,75,234,207,533,362,308,302,290,477,479,627,802,1065,1707,1594,790,689,735,558,198,22,2,0
"119","2019-11-01","2호선",250,"용두(동대문구청)","승차",2,54,63,236,365,181,120,134,138,165,159,257,184,207,277,142,88,60,36,21,10,1,0,0
"120","2019-11-01","2호선",250,"용두(동대문구청)","하차",1,8,47,93,256,136,130,166,125,208,167,167,205,183,332,266,128,97,108,78,43,0,0,0
"121","2019-11-01","3호선",309,"지축","승차",0,9,67,221,286,161,70,75,69,85,57,81,129,152,85,42,25,15,7,11,7,1,0,0
"122","2019-11-01","3호선",309,"지축","하차",1,28,92,103,101,58,43,49,53,67,74,73,111,148,181,155,137,106,77,43,17,3,0,0
"123","2019-11-01","3호선",310,"구파발","승차",5,391,1339,4322,4578,2163,1153,994,1044,1022,1047,1243,1645,1681,1631,993,725,664,560,271,48,0,0,0
"124","2019-11-01","3호선",310,"구파발","하차",0,57,389,1084,1299,1137,967,924,1128,1131,987,1128,1517,1742,3205,2867,1556,1392,1351,1002,489,60,0,0
"125","2019-11-01","3호선",311,"연신내","승차",14,1082,2185,6553,7878,3915,2461,2146,2290,2117,1899,2108,2605,2588,2392,1603,1230,1207,1111,639,184,5,0,0
"126","2019-11-01","3호선",311,"연신내","하차",3,83,556,1300,1590,1661,1318,1371,1512,1613,1883,2056,3045,3508,6254,5944,3217,3011,2779,2037,1068,6,0,0
"127","2019-11-01","3호선",312,"불광","승차",1,404,851,2611,3069,1476,1057,969,978,1066,1050,1051,1216,1371,1585,821,588,572,486,240,58,4,0,0
"128","2019-11-01","3호선",312,"불광","하차",0,70,271,468,1431,1166,943,966,1029,1119,1200,1252,1409,1695,2971,2371,1371,1079,1084,857,353,2,0,0
"129","2019-11-01","3호선",313,"녹번","승차",2,325,908,2844,3153,1584,946,761,720,764,614,599,740,946,973,458,310,279,237,118,25,0,0,0
"130","2019-11-01","3호선",313,"녹번","하차",1,64,430,325,816,478,331,310,376,476,478,639,896,1130,2130,1784,1102,1050,941,706,278,0,0,0
"131","2019-11-01","3호선",314,"홍제","승차",8,320,916,2921,3455,1898,1206,1107,1070,1029,1033,1127,1192,1523,1605,717,572,522,360,199,47,3,0,0
"132","2019-11-01","3호선",314,"홍제","하차",3,75,375,557,1312,1001,818,736,725,898,887,1103,1411,1668,2637,2216,1480,1042,1163,800,340,4,0,0
"133","2019-11-01","3호선",315,"무악재","승차",2,79,191,762,831,429,279,236,221,208,201,203,180,236,366,147,98,64,56,36,7,2,0,0
"134","2019-11-01","3호선",315,"무악재","하차",1,11,70,130,307,178,147,135,133,206,192,233,308,414,627,519,351,332,319,248,96,4,0,0
"135","2019-11-01","3호선",316,"독립문","승차",5,191,285,810,951,643,472,490,479,583,571,648,931,751,806,413,258,292,183,81,15,0,0,0
"136","2019-11-01","3호선",316,"독립문","하차",0,37,228,769,975,636,486,380,410,517,514,510,609,735,886,663,414,405,384,291,107,63,0,0
"137","2019-11-01","3호선",317,"경복궁(정부서울청사)","승차",12,154,268,692,973,976,737,1003,1474,1690,2046,2406,3043,3980,5473,2162,1683,2262,1413,618,120,0,0,0
"138","2019-11-01","3호선",317,"경복궁(정부서울청사)","하차",0,51,635,2027,6377,4075,2778,1814,1550,2155,1666,1344,1460,1624,2293,1665,722,539,504,278,155,5,0,0
"139","2019-11-01","3호선",318,"안국","승차",0,67,134,308,445,467,588,974,1238,1452,2011,2344,3367,5591,6100,2261,1764,1618,1115,369,61,2,0,0
"140","2019-11-01","3호선",318,"안국","하차",0,96,900,4906,5702,3641,2746,2544,1841,2080,1872,1595,1454,1330,1742,722,395,346,312,159,94,1,0,0
"141","2019-11-01","3호선",319,"종로3가","승차",1,41,61,87,140,216,285,387,479,518,675,925,1022,1496,2531,1592,790,869,715,447,79,5,0,0
"142","2019-11-01","3호선",319,"종로3가","하차",0,44,206,626,2437,2272,1565,1182,1049,927,967,846,860,996,1138,737,349,241,196,153,70,2,0,0
"143","2019-11-01","3호선",320,"을지로3가","승차",0,33,65,102,200,330,397,460,446,548,657,751,807,1861,3219,1437,905,934,814,618,142,0,0,0
"144","2019-11-01","3호선",320,"을지로3가","하차",0,46,361,1432,3788,1745,830,621,581,580,548,592,549,700,1143,862,351,249,177,117,38,1,0,0
"145","2019-11-01","3호선",322,"동대입구","승차",0,57,102,248,393,298,281,390,481,818,638,987,1029,1962,2123,1035,1014,669,471,251,38,1,0,0
"146","2019-11-01","3호선",322,"동대입구","하차",0,50,302,840,2979,1583,1218,1109,723,956,678,626,508,674,803,480,271,244,203,155,88,3,0,0
"147","2019-11-01","3호선",323,"약수","승차",7,265,459,1301,1869,1270,769,755,972,887,796,888,1078,1165,1718,920,629,649,563,299,67,0,0,0
"148","2019-11-01","3호선",323,"약수","하차",1,64,209,737,1699,1094,661,609,632,734,680,776,949,1286,1953,1388,790,761,764,515,234,57,0,0
"149","2019-11-01","3호선",324,"금호","승차",1,197,421,1309,1854,1101,663,464,500,424,390,364,443,519,570,400,284,209,185,84,27,0,0,0
"150","2019-11-01","3호선",324,"금호","하차",1,22,103,174,403,285,248,218,339,368,404,509,719,878,1336,1003,698,568,563,429,163,0,0,0
"151","2019-11-01","3호선",325,"옥수","승차",14,133,382,1210,1878,1045,673,554,524,547,509,510,683,784,889,569,390,382,318,129,33,0,1,0
"152","2019-11-01","3호선",325,"옥수","하차",1,51,169,339,760,540,342,402,456,561,545,597,834,1019,1566,1223,747,714,720,442,171,1,0,0
"153","2019-11-01","3호선",326,"압구정","승차",6,118,314,797,1302,920,975,1318,1557,1659,2104,2278,2850,3571,6406,4597,3110,2520,2073,758,136,1,2,0
"154","2019-11-01","3호선",326,"압구정","하차",0,88,912,2190,6437,6635,2897,2430,2067,2109,1995,2025,2076,2681,3344,2165,886,679,614,352,206,20,0,0
"155","2019-11-01","3호선",327,"신사","승차",2,176,227,569,922,723,738,950,1163,1408,1714,2123,2424,3700,6562,4545,2866,3030,2903,1626,278,1,0,0
"156","2019-11-01","3호선",327,"신사","하차",0,51,734,1818,5484,5779,2792,1969,1781,2091,2086,2055,2282,2709,4287,3240,1381,863,754,501,236,0,0,0
"157","2019-11-01","3호선",328,"잠원","승차",1,64,270,845,1222,703,387,355,369,347,310,379,478,526,678,344,229,215,158,57,15,1,0,0
"158","2019-11-01","3호선",328,"잠원","하차",1,22,185,387,507,326,221,199,277,382,351,370,473,565,847,728,409,372,487,287,95,1,0,0
